Check ID,Platform,Category,DRIVE Stage,Check,Business-Friendly Description,Severity,Exploitability,Business Impact Level,Check Score Deduction (X),Maturity Ceiling (1–5),NIST SP 800-53 (Rev.5),CIS Controls v8,MITRE ATT&CK,GDPR,GLBA,HIPAA,ISO 27001,NIST 800-171,PCI DSS,SOX,ASD ISM,CJISSP,FISMA NIST,NERC CIP,SWIFT
SP-ES-001,SharePoint,Access Control,2,Sharepoint open access (anyone links present),"‘Anyone’ links allow anonymous access from the internet. If exploited, sensitive documents leak publicly and can be indexed by search engines.",Critical,High,High,9,2,"AC-14, AC-2, AC-20, AC-3, AC-6","15, 3, 6",,Art. 32 (security of processing); Art. 25 (privacy by design); Art. 5(1)(f) (integrity/confidentiality),Access controls (16 CFR Part 314),45 CFR 164.312(a)(1) Access control,Annex A: Access control; Annex A: Information classification & handling,AC (Access Control),Req. 7 (restrict access by need-to-know),ITGC: Access to programs and data,Access control,Access control (CJIS Security Policy),"Aligns with NIST SP 800-53: AC-14, AC-2, AC-20, AC-3, AC-6",,
SP-AX-001,SharePoint,Access Control,3,Sharepoint sensitive data with visitors group misconfigured for edit,"Visitors should be read‑only; granting edit to visitors broadens write access. If exploited, attackers alter or plant malicious files and mislead users.",High,Medium,High,5,2,"AC-14, AC-2, AC-20, AC-3, AC-4, AC-6, SC-28","15, 3, 6",T1567,Art. 32 (security of processing); Art. 25 (privacy by design); Art. 5(1)(f) (integrity/confidentiality),Access controls (16 CFR Part 314),45 CFR 164.312(a)(1) Access control,Annex A: Access control; Annex A: Information classification & handling,AC (Access Control),Req. 7 (restrict access by need-to-know),ITGC: Access to programs and data,Access control,Access control (CJIS Security Policy),"Aligns with NIST SP 800-53: AC-14, AC-2, AC-20, AC-3, AC-4, AC-6, SC-28",CIP-011 (Information Protection),
DE-002-SPO,SharePoint,Access Control,3,Anonymous sharing links are enabled (scope == anonymous).,"Share links don’t require authentication across SharePoint/OneDrive. Anyone who gets the URL (even unintentionally) can access the file. If exposed (e.g., pasted into a ticket or chat), data can spread publicly and evade access logs, creating regulatory and reputational risk.",Medium,Medium,Medium,6,5,"AC-3, AC-6, AC-2, SC-7, AU-2","3, 4, 5, 6, 8","T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)",Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.4, A.13.1","3.1, 3.5, 3.3","7, 8, 10, 12",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
AC-006,SharePoint,Access Control,3,Broken permission inheritance,"A site/library/folder stopped inheriting permissions and has custom access that’s hard to see or review. Over time, this drifts into overexposure. If exploited, unauthorized users can read/alter/delete sensitive files, causing outages, data loss, or breaches.",Medium,Medium,Medium,6,5,"AC-2, AC-3, AC-5, AC-6, IA-2, IA-5, AU-2","3, 4, 5, 6, 8",T1078 (Valid Accounts),Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.3, A.9.4","3.1, 3.5, 3.3","7, 8, 10, 12",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
ES-001-SPO,SharePoint,Access Control,3,Guest user has access to sensitive content.,"A partner/contractor account can view internal confidential data. If that guest account is hijacked or misused, information can be copied externally, harming competitive position and triggering contractual or regulatory issues.",Medium,Medium,Medium,6,5,"AC-3, AC-6, AC-2, SC-7, AU-2","3, 4, 5, 6, 8","T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)",Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.4, A.13.1","3.1, 3.5, 3.3","7, 8, 10, 12",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
CC-002-SPO,SharePoint,Access Control,2,Non-expiring (permanent) links are allowed.,"Share links never expire. Old links continue to work long after the business need ends. If they surface in email threads, tickets, or web caches, outsiders may gain indefinite access to sensitive files.",Medium,Medium,Medium,6,5,"AC-2, AC-3, AC-5, AC-6, IA-2, IA-5, AU-2","3, 4, 5, 6, 8",T1078 (Valid Accounts),Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.3, A.9.4","3.1, 3.5, 3.3","7, 8, 10, 12",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
AC-003-SPO,SharePoint,Access Control,2,Orphaned users (not resolvable in directory) still appear on ACLs.,"Permissions reference accounts that no longer exist (or can’t be resolved). This breaks accountability and reviews. If an identity is later re-created or mapped, it may inherit unintended access; audits also fail due to unverifiable access lists.",Medium,Medium,Medium,6,5,"AC-2, AC-3, AC-5, AC-6, IA-2, IA-5, AU-2","3, 4, 5, 6, 8",T1078 (Valid Accounts),Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.3, A.9.4","3.1, 3.5, 3.3","7, 8, 10, 12",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
DE-003,SharePoint,Access Control,2,File Shared with Everyone,"A file or folder is open to all employees by default (“Everyone”/“Everyone except external users”). This breaks least-privilege. If abused, sensitive data can be harvested at scale by any compromised internal account.",Medium,Medium,Medium,6,5,"AC-3, AC-6, AC-2, SC-7, AU-2","3, 4, 5, 6, 8","T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)",Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.4, A.13.1","3.1, 3.5, 3.3","7, 8, 10, 12",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
AC-001-SPO,SharePoint,Access Control,3,Inactive user (>90 days) still retains permissions to SharePoint Online resources.,"A dormant account still has SharePoint access. If abused, broad site content can be copied or tampered with, complicating forensics and recovery.",Medium,Medium,Medium,6,5,"AC-2, AC-3, AC-5, AC-6, IA-2, IA-5, AU-2","3, 4, 5, 6, 8",T1078 (Valid Accounts),Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.3, A.9.4","3.1, 3.5, 3.3","7, 8, 10, 12",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
DE-002-Teams,Teams,Access Control,2,Anonymous links to files shared via Teams (backed by SharePoint/OneDrive) are enabled (scope == anonymous).,"Files shared in Teams can be opened by anyone with the link—no sign-in required. If that link is forwarded or leaked, outsiders can read or download sensitive content without leaving a trace, leading to data leaks, loss of IP, and potential compliance fines.",Medium,Medium,Medium,6,5,"AC-3, AC-6, AC-2, SC-7, AU-2","3, 4, 5, 6, 8","T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)",Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.4, A.13.1","3.1, 3.5, 3.3","7, 8, 10, 12",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
ES-001-Teams,Teams,Access Control,2,Guest user has access to sensitive content.,"A partner/contractor account can view internal confidential data. If that guest account is hijacked or misused, information can be copied externally, harming competitive position and triggering contractual or regulatory issues.",Medium,Medium,Medium,6,5,"AC-3, AC-6, AC-2, SC-7, AU-2","3, 4, 5, 6, 8","T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)",Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.4, A.13.1","3.1, 3.5, 3.3","7, 8, 10, 12",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
DE-001,Teams,Access Control,2,Org-wide Teams sharing  (scope == organization),"Teams channels or files are visible to everyone in the company by default. This increases insider risk and accidental exposure of HR, finance, or legal content, and makes it easier for attackers with any compromised account to find crown-jewel data.",Medium,Medium,Medium,6,5,"AC-3, AC-6, AC-2, SC-7, AU-2","3, 4, 5, 6, 8","T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)",Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.4, A.13.1","3.1, 3.5, 3.3","7, 8, 10, 12",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
AC-001-Teams,Teams,Access Control,3,Inactive user (>90 days) still retains permissions to Microsoft Teams resources.,"A stale account still sees Teams chats/files. Compromise exposes conversations, shared docs, and links, enabling lateral movement and reputational harm if sensitive discussions leak.",Medium,Medium,Medium,6,5,"AC-2, AC-3, AC-5, AC-6, IA-2, IA-5, AU-2","3, 4, 5, 6, 8",T1078 (Valid Accounts),Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.3, A.9.4","3.1, 3.5, 3.3","7, 8, 10, 12",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
FS-032,File System,Compliance & Governance,3,File System Empty Shares,"Unused shares increase attack surface and confusion. If exploited, attackers stage tools or data exfiltration paths that go unnoticed.",Low,Low,Low,20,5,"AC-3, AC-6, SC-7, AU-2","4, 6, 8",—,Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.4, A.13.1","3.1, 3.8, 3.3","7, 8, 10",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
AC-007-OD,OneDrive,Compliance & Governance,3,Site/workload is stale (no activity >180 days).,"Old sites/teams linger without owners or reviews. They quietly accumulate risky links and guests. If exploited, they become easy backdoors for data theft and malware staging, and they complicate compliance and cleanup.",Medium,Medium,Medium,6,5,"AC-2, AC-3, AC-5, AC-6, IA-2, IA-5, AU-2","3, 4, 5, 6, 8",T1078 (Valid Accounts),Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.3, A.9.4","3.1, 3.5, 3.3","7, 8, 10, 12",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
SP-ES-003,SharePoint,Compliance & Governance,3,Sharepoint anyone links without expiration,"Non‑expiring public links remain open indefinitely. If exploited, long‑forgotten links enable ongoing data leakage.",Medium,High,High,20,2,"AC-14, AC-2, AC-20, AC-3, AC-6","15, 3, 6",,Art. 32 (security of processing); Art. 25 (privacy by design); Art. 5(1)(f) (integrity/confidentiality),Access controls (16 CFR Part 314),45 CFR 164.312(a)(1) Access control,Annex A: Access control; Annex A: Information classification & handling,AC (Access Control),Req. 7 (restrict access by need-to-know),ITGC: Access to programs and data,Access control,Access control (CJIS Security Policy),"Aligns with NIST SP 800-53: AC-14, AC-2, AC-20, AC-3, AC-6",,
SP-ES-009,SharePoint,Compliance & Governance,3,Sharepoint excessive unique permissions (broken inheritance sprawl),"Too many unique permissions create chaos and blind spots. If exploited, attackers hide access in one-off ACLs that reviews miss.",Low,Medium,Medium,20,2,"AC-3, AC-6","3, 6",,Art. 32 (security of processing); Art. 25 (privacy by design); Art. 5(1)(f) (integrity/confidentiality),Access controls (16 CFR Part 314),45 CFR 164.312(a)(1) Access control,Annex A: Access control; Annex A: Information classification & handling,AC (Access Control),Req. 7 (restrict access by need-to-know),ITGC: Access to programs and data,Access control,Access control (CJIS Security Policy),"Aligns with NIST SP 800-53: AC-3, AC-6",,
SP-MB-005,SharePoint,Compliance & Governance,3,Sharepoint files unresolved owner,"Orphaned files lack stewardship and review. If exploited, attackers alter or exfiltrate data while oversight is missing.",Medium,Medium,Medium,20,2,"AC-3, AC-6","3, 6",,,,,,,,,,,"Aligns with NIST SP 800-53: AC-3, AC-6",,
SP-CH-001,SharePoint,Compliance & Governance,3,Sharepoint missing site owners (orphaned site),"Sites without owners lack stewardship and review. If exploited, attackers quietly accumulate access and manipulate content without accountability.",Medium,Medium,Medium,20,2,"AC-3, AC-6","3, 6",,,,,,,,,,,"Aligns with NIST SP 800-53: AC-3, AC-6",,
AC-007-SPO,SharePoint,Compliance & Governance,3,Site/workload is stale (no activity >180 days).,"Old sites/teams linger without owners or reviews. They quietly accumulate risky links and guests. If exploited, they become easy backdoors for data theft and malware staging, and they complicate compliance and cleanup.",Medium,Medium,Medium,6,5,"AC-2, AC-3, AC-5, AC-6, IA-2, IA-5, AU-2","3, 4, 5, 6, 8",T1078 (Valid Accounts),Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.3, A.9.4","3.1, 3.5, 3.3","7, 8, 10, 12",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
ES-002-EX,Exchange Online,Data Discovery & Classification,2,Sensitive data (emails/attachments) shared externally across multiple domains.,"Regulated or confidential email content is spread to many third-party domains. The wider the spread, the harder revocation and tracking become—raising breach impact, notification obligations, and legal exposure.",Medium,Medium,Medium,6,5,"AC-3, AC-6, AC-2, SC-7, AU-2","3, 4, 5, 6, 8","T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)",Art. 32(1)(b) Security of Processing,16 CFR 314.4 (Safeguards Rule) – Access Controls,"164.308(a)(3), 164.308(a)(4), 164.312(d)","A.9.1, A.9.2, A.9.4, A.13.1","3.1, 3.5, 3.3","7, 8, 10, 12",ITGC: Access to Programs & Data,Access control & authentication hardening,Access Control; Identification & Authentication,Aligned to NIST SP 800-53 above,"CIP-004, CIP-007 R5",CSP: Access Control; Logging & Monitoring
FS-AX-017,File System,Data Discovery & Classification,2,File system sensitive data at share root with modify rights,"Placing sensitive data at share roots with modify permissions increases accidental and malicious changes. If exploited, attackers overwrite or encrypt data at scale (ransomware).",Critical,High,High,7,2,"AC-3, AC-4, AC-6, SC-28","3, 6",T1567,Art. 32 (security of processing); Art. 25 (privacy by design); Art. 5(1)(f) (integrity/confidentiality),Access controls (16 CFR Part 314),45 CFR 164.312(a)(1) Access control,Annex A: Access control; Annex A: Information classification & handling,AC (Access Control),Req. 7 (restrict access by need-to-know),ITGC: Access to programs and data,Access control,Access control (CJIS Security Policy),"Aligns with NIST SP 800-53: AC-3, AC-4, AC-6, SC-28",CIP-011 (Information Protection),
