version,last_updated_utc,check_id,title,category,platform,severity,description,logic,data_points,automatable,owner,status,notes,drive_pillar,drive_maturity_min,drive_weight,nist_csf_function,nist_csf_id,cis_v8_control,cis_m365_benchmark,iso_27001_annex,anssi_level,pingcastle_topic,tags
1.0.0,2025-09-29T11:17:12Z,SP-ES-009,Sharepoint excessive unique permissions (broken inheritance sprawl),Compliance & Governance,SharePoint,Low,"Too many unique permissions create chaos and blind spots. If exploited, attackers hide access in one-off ACLs that reviews miss.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 20,true,DRIVE-Team,active,,I,3,1.0,PROTECT,AC-3,3,,Annex A: Access control; Annex A: Information classification & handling,,,
1.0.0,2025-09-29T11:17:12Z,SP-MB-005,Sharepoint files unresolved owner,Compliance & Governance,SharePoint,Medium,"Orphaned files lack stewardship and review. If exploited, attackers alter or exfiltrate data while oversight is missing.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 20,true,DRIVE-Team,active,,I,3,1.0,PROTECT,AC-3,3,,,,,
1.0.0,2025-09-29T11:17:12Z,SP-CH-001,Sharepoint missing site owners (orphaned site),Compliance & Governance,SharePoint,Medium,"Sites without owners lack stewardship and review. If exploited, attackers quietly accumulate access and manipulate content without accountability.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 20,true,DRIVE-Team,active,,I,3,1.0,PROTECT,AC-3,3,,,,,
1.0.0,2025-09-29T11:17:12Z,AC-007-SPO,Site/workload is stale (no activity >180 days).,Compliance & Governance,SharePoint,Medium,"Old sites/teams linger without owners or reviews. They quietly accumulate risky links and guests. If exploited, they become easy backdoors for data theft and malware staging, and they complicate compliance and cleanup.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,I,3,0.3,PROTECT,AC-2,3,,A.9.1,,,mitre:T1078 (Valid Accounts)
1.0.0,2025-09-29T11:17:12Z,ES-002-EX,Sensitive data (emails/attachments) shared externally across multiple domains.,Data Discovery & Classification,Exchange Online,Medium,"Regulated or confidential email content is spread to many third-party domains. The wider the spread, the harder revocation and tracking become—raising breach impact, notification obligations, and legal exposure.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,R,2,0.3,PROTECT,AC-3,3,,A.9.1,,,"mitre:T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)"
1.0.0,2025-09-29T11:17:12Z,FS-AX-017,File system sensitive data at share root with modify rights,Data Discovery & Classification,File System,Critical,"Placing sensitive data at share roots with modify permissions increases accidental and malicious changes. If exploited, attackers overwrite or encrypt data at scale (ransomware).","Exploitability: High, Business Impact: High",Score Deduction: 7,true,DRIVE-Team,active,,R,2,0.35,PROTECT,AC-3,3,,Annex A: Access control; Annex A: Information classification & handling,,,mitre:T1567
1.0.0,2025-09-29T11:17:12Z,AC-008-OD,Files are stale (no access >365 days).,Data Discovery & Classification,OneDrive,Medium,"Old files linger but still carry sensitive data. They’re rarely reviewed, yet remain accessible. If compromised, attackers can mine years of unneeded data, increasing breach scope, incident costs, and discovery/sanctions risk.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,I,3,0.3,PROTECT,AC-2,3,,A.9.1,,,mitre:T1078 (Valid Accounts)
1.0.0,2025-09-29T11:17:12Z,ES-002-OD,Sensitive files shared to multiple external domains.,Data Discovery & Classification,OneDrive,Medium,"Files are shared with many outside organizations. Each domain adds risk—harder to control copies, increased chance of leaks, and complex incident response if data turns up elsewhere.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,E,4,0.3,PROTECT,AC-3,3,,A.9.1,,,"mitre:T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)"
1.0.0,2025-09-29T11:17:12Z,SP-SR-008,Onedrive sensitive data in personal employee drives,Data Discovery & Classification,SharePoint,Medium,"Personal OneDrives often bypass team controls. If exploited, attackers in a user account can access and share sensitive data outside approved channels.","Exploitability: Medium, Business Impact: High",Score Deduction: 7,true,DRIVE-Team,active,,E,4,0.35,PROTECT,AC-20,3,,Annex A: Access control; Annex A: Information classification & handling,,,mitre:T1567
1.0.0,2025-09-29T11:17:12Z,SP-MB-003,Sharepoint sensitive data + anyone link,Data Discovery & Classification,SharePoint,Critical,"Combining sensitive content with public links multiplies exposure. If exploited, widespread, hard‑to‑trace data leaks occur rapidly.","Exploitability: High, Business Impact: High",Score Deduction: 26,true,DRIVE-Team,active,,E,4,1.0,PROTECT,AC-14,15,,Annex A: Access control; Annex A: Information classification & handling,,,mitre:T1567
1.0.0,2025-09-29T11:17:12Z,SP-ES-011,Sharepoint sensitive data accessible to 'everyone except external users',Data Discovery & Classification,SharePoint,Medium,"Sensitive documents should never be broadly exposed. If exploited, any phished or malicious insider can mass-download data.","Exploitability: High, Business Impact: High",Score Deduction: 7,true,DRIVE-Team,active,,E,5,0.35,PROTECT,AC-14,15,,Annex A: Access control; Annex A: Information classification & handling,,,mitre:T1567
1.0.0,2025-09-29T11:17:12Z,SP-ES-013,Sharepoint sensitive data in communication sites with anonymous links,Data Discovery & Classification,SharePoint,Critical,"Communication sites are often internet-facing; anonymous links add risk. If exploited, external actors retrieve confidential files without authentication.","Exploitability: High, Business Impact: High",Score Deduction: 10,true,DRIVE-Team,active,,E,5,0.5,PROTECT,AC-3,3,,Annex A: Access control; Annex A: Information classification & handling,,,mitre:T1567
1.0.0,2025-09-29T11:17:12Z,AC-008-SPO,Files are stale (no access >365 days).,Data Discovery & Classification,SharePoint,Medium,"Old files linger but still carry sensitive data. They’re rarely reviewed, yet remain accessible. If compromised, attackers can mine years of unneeded data, increasing breach scope, incident costs, and discovery/sanctions risk.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,E,5,0.3,PROTECT,AC-2,3,,A.9.1,,,mitre:T1078 (Valid Accounts)
1.0.0,2025-09-29T11:17:12Z,ES-002-SPO,Sensitive files shared to multiple external domains.,Data Discovery & Classification,SharePoint,Medium,"Files are shared with many outside organizations. Each domain adds risk—harder to control copies, increased chance of leaks, and complex incident response if data turns up elsewhere.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,E,4,0.3,PROTECT,AC-3,3,,A.9.1,,,"mitre:T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)"
1.0.0,2025-09-29T11:17:12Z,ES-002-Teams,Sensitive files shared to multiple external domains.,Data Discovery & Classification,Teams,Medium,"Files are shared with many outside organizations. Each domain adds risk—harder to control copies, increased chance of leaks, and complex incident response if data turns up elsewhere.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,E,4,0.3,PROTECT,AC-3,3,,A.9.1,,,"mitre:T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)"
1.0.0,2025-09-29T11:17:12Z,ES-003,Shared Channels with sensitive content,Data Discovery & Classification,Teams,Medium,"Teams Shared Channels can include external organizations. A misstep in membership or classification exposes high-value content across tenants; if exploited, competitors or threat actors gain ongoing access to conversations and files.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 6,true,DRIVE-Team,active,,E,5,0.3,PROTECT,AC-3,3,,A.9.1,,,"mitre:T1530 (Data from Cloud Storage), T1567 (Exfiltration Over Web Services)"
1.0.0,2025-09-29T11:17:12Z,FS-OH-005,File system sensitive data unencrypted at rest,Data Protection,File System,High,"Critical files stored without encryption are readable if storage is compromised. If exploited, attackers exfiltrate high‑value data with minimal effort and little trace.","Exploitability: Medium, Business Impact: High",Score Deduction: 23,true,DRIVE-Team,active,,I,3,1.0,PROTECT,AC-3,3,,Annex A: Access control; Annex A: Information classification & handling; Annex A: Cryptography / protection of information at rest,,,mitre:T1567
1.0.0,2025-09-29T11:17:12Z,AD-018,Accounts with adminCount=1 but not currently in privileged groups,Identity,Active Directory,High,"AdminSDHolder ‘lingering’ flags mean an account retains protected ACLs even after leaving admin groups. If exploited, attackers leverage these protections to resist remediation or keep hidden backdoors.","Exploitability: Medium, Business Impact: High",Score Deduction: 3,true,DRIVE-Team,active,,R,2,0.15,PROTECT,AC-2,5,,,,,mitre:T1098
1.0.0,2025-09-29T11:17:12Z,AD-032,Admin accounts not in Protected Users group,Identity,Active Directory,High,"Protected Users enhances safeguards (no NTLM, no cached creds, limited delegation). If exploited, absence of these controls makes admin credentials easier to steal and reuse.","Exploitability: High, Business Impact: High",Score Deduction: 3,true,DRIVE-Team,active,,D,1,0.15,PROTECT,AC-2,4,,A.9.1,,,mitre:T1078 (Valid Accounts)
1.0.0,2025-09-29T11:17:12Z,AD-033,Admin accounts with SPN configured,Identity,Active Directory,High,"Admin SPNs expose high‑value tickets to Kerberoasting. If exploited, cracked hashes yield administrator passwords and immediate escalation.","Exploitability: High, Business Impact: High",Score Deduction: 3,true,DRIVE-Team,active,,D,1,0.15,PROTECT,AC-3,4,,A.9.1,,,mitre:T1558.003 (Kerberoasting)
1.0.0,2025-09-29T11:17:12Z,AD-034,Admin accounts with unprivileged owners,Identity,Active Directory,High,"If non‑admins own admin accounts/objects, they can silently change permissions. If exploited, attackers maintain hidden control and undo security fixes.","Exploitability: Medium, Business Impact: High",Score Deduction: 3,true,DRIVE-Team,active,,R,2,0.15,PROTECT,AC-2,4,,A.9.1,,,mitre:T1078 (Valid Accounts)
1.0.0,2025-09-29T11:17:12Z,AD-035,Admin accounts without adminCount=1,Identity,Active Directory,Medium,"Privileged accounts should inherit AdminSDHolder protections. If exploited, missing protections allow permission drift or malicious ACL changes on admin principals.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 1,true,DRIVE-Team,active,,R,2,0.05,PROTECT,AC-2,4,,A.9.1,,,mitre:T1078 (Valid Accounts)
1.0.0,2025-09-29T11:17:12Z,AD-036,Clear Text Password,Identity,Active Directory,High,"Passwords stored or transmitted in clear text are immediately readable. If exploited, attackers log in directly, impersonate users, and exfiltrate data without cracking.","Exploitability: High, Business Impact: High",Score Deduction: 3,true,DRIVE-Team,active,,R,2,0.15,PROTECT,IA-5,4,,A.10.1,,,mitre:T1003 (OS Credential Dumping)
1.0.0,2025-09-29T11:17:12Z,AD-012,Constrained delegation with protocol transition (TRUSTED_TO_AUTH_FOR_DELEGATION),Identity,Active Directory,High,"Protocol transition allows a service to obtain Kerberos tickets without the user’s original TGT. If exploited, attackers misuse the service to impersonate users to back-end systems, including admins.","Exploitability: High, Business Impact: High",Score Deduction: 3,true,DRIVE-Team,active,,D,1,0.15,PROTECT,AC-6,6,,,,,mitre:T1550
1.0.0,2025-09-29T11:17:12Z,AD-003,Contractor accounts (employeeType=Contractor) without 'accountExpires',Identity,Active Directory,High,"Contractor accounts without an expiry date can outlive their business need. If exploited, former contractors (or attackers using their credentials) can continue logging in and accessing internal systems indefinitely.","Exploitability: Medium, Business Impact: High",Score Deduction: 1,true,DRIVE-Team,active,,D,1,0.05,PROTECT,AC-2,5,,,,,mitre:T1078
1.0.0,2025-09-29T11:17:12Z,AD-037,DES Encryption Only,Identity,Active Directory,High,"DES is obsolete and weak for Kerberos encryption. If exploited, attackers forge or crack tickets far faster, enabling impersonation and domain traversal.","Exploitability: High, Business Impact: High",Score Deduction: 3,true,DRIVE-Team,active,,D,1,0.15,PROTECT,IA-5,4,,A.10.1,,,mitre:T1550.003 (Pass-the-Ticket)
1.0.0,2025-09-29T11:17:12Z,AD-002,Disabled accounts still members of groups,Identity,Active Directory,Medium,"Disabled users that remain in groups keep latent privileges that can reappear if the account is re-enabled or duplicated. If exploited, reactivation or cloning restores powerful access immediately, enabling privilege escalation without going through approvals.","Exploitability: Medium, Business Impact: Medium",Score Deduction: 1,true,DRIVE-Team,active,,D,1,0.05,PROTECT,AC-2,5,,,,,mitre:T1078
1.0.0,2025-09-29T11:17:12Z,AD-038,Disabled admin accounts present,Identity,Active Directory,Low,"Disabled admin accounts clutter directories and may be re‑enabled by mistake. If exploited, reactivation restores powerful access without scrutiny.","Exploitability: Low, Business Impact: Low",Score Deduction: 1,true,DRIVE-Team,active,,I,3,0.05,PROTECT,AC-2,4,,A.9.1,,,mitre:T1078 (Valid Accounts)
